state,population
AL,Huntsville
AK,Anchorage
AZ,"Feb 14, 1912"
AR,"Jun 15, 1836"
CA,Los Angeles
CO,"Aug 1, 1876"
CT,Bridgeport
DE,Wilmington
FL,Jacksonville
GA,"Jan 2, 1788"
HI,"Aug 21, 1959"
ID,"Jul 3, 1890"
IL,Chicago
IN,"Dec 11, 1816"
IA,"Dec 28, 1846"
KS,Wichita
KY,Louisville
LA,New Orleans
ME,Portland
MD,Baltimore
MA,"Feb 6, 1788"
MI,Detroit
MN,Minneapolis
MS,"Dec 10, 1817"
MO,Kansas City
MT,Billings
NE,Omaha
NV,Las Vegas
NH,Manchester
NJ,Newark
NM,Albuquerque
NY,New York City
NC,Charlotte
ND,Fargo
OH,"Mar 1, 1803"
OK,"Nov 16, 1907"
OR,Portland
PA,Philadelphia
RI,"May 29, 1790"
SC,Charleston
SD,Sioux Falls
TN,"Jun 1, 1796"
TX,Houston
UT,"Jan 4, 1896"
VT,Burlington
VA,Virginia Beach
WA,Seattle
WV,"Jun 20, 1863"
WI,Milwaukee
WY,"Jul 10, 1890"
